xAccl,yAccl,zAccl,time
-2,44,1020,1742476866.2304058
1,40,1025,1742476866.2809756
-1,43,1024,1742476866.331845
-1,43,1012,1742476866.3772607
2,43,1014,1742476866.4232767
0,41,1014,1742476866.4756415
-1,40,1021,1742476866.523357
-6,37,1022,1742476866.5729926
-1,46,1011,1742476866.6386635
-1,41,1024,1742476866.6892407
-4,36,1012,1742476866.7402077
0,41,1014,1742476866.7909336
0,41,1028,1742476866.8419683
-3,39,1017,1742476866.8927808
0,40,1016,1742476866.9437017
2,38,1016,1742476866.9895744
-3,39,1025,1742476867.0456161
-2,41,1013,1742476867.097022
3,42,1013,1742476867.1477778
2,40,1016,1742476867.1994877
2,40,1011,1742476867.2407846
4,43,1013,1742476867.2897406
-2,43,1011,1742476867.352273
-1,41,1010,1742476867.3898432
1,44,1018,1742476867.4539034
4,41,1009,1742476867.5049741
-4,44,1016,1742476867.5563602
